Entity,Metric,Date/Time,Value
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 16:25,46010612
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 16:55,43272924
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 17:25,50247664.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 17:55,24556693.5
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 18:25,21590842.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 18:55,16991151.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 19:25,18046378.75
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 19:55,16906667
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 20:25,16678304.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 20:55,20788536.5
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 21:25,21449576
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 21:55,22460244
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 22:25,21491841.5
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 22:55,19974228.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 23:25,20649700
TenGigabitEthernet10/0/1,AvgRx(bps),9/27/2023 23:55,22430819.5
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 0:25,26162509.33
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 0:55,20064987.33
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 1:25,20530996
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 1:55,22793383.33
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 2:25,21426559.33
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 2:55,23093275
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 3:25,19912822
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 3:55,22634717.33
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 4:25,21035538.5
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 4:55,20713902.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 5:25,22263688
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 5:55,22791993.5
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 6:25,21386820
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 6:55,19642032.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 7:25,18116787.25
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 7:55,20859436.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 8:25,31171751.33
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 8:55,28852919.5
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 9:25,29664661.33
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 9:55,28784109.33
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 10:25,32317390
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 10:55,43642695.33
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 11:25,44033529.33
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 11:55,44652980
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 12:25,38596858.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 12:55,41506532
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 13:25,44927034
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 13:55,48685893.33
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 14:25,45065224
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 14:55,43456625
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 15:25,46746566.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 15:55,44052254.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 16:25,43970781
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 16:55,39719162.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 17:25,30112784
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 17:55,31833993
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 18:25,27288028.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 18:55,22970144.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 19:25,17682132
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 19:55,15766948
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 20:25,19400424.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 20:55,22169167.5
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 21:25,21721325.33
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 21:55,21715712
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 22:25,22718258.5
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 22:55,20401539.33
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 23:25,22308174.67
TenGigabitEthernet10/0/1,AvgRx(bps),9/28/2023 23:55,22597926.5
